,acc,loss,round,client,type
0,0.8726190476190476,1.6498326063156128,0,Client_0,local
1,0.8797619047619047,2.2566840648651123,0,Client_0,global
2,0.8976190476190476,1.6536014080047607,0,Client_3,local
3,0.8845238095238095,2.2557480335235596,0,Client_3,global
4,0.8797619047619047,1.6840192079544067,1,Client_2,local
5,0.8702380952380953,2.2656033039093018,1,Client_2,global
6,0.8773809523809524,1.6997506618499756,1,Client_3,local
7,0.8678571428571429,2.264509439468384,1,Client_3,global
8,0.8571428571428571,1.7432544231414795,2,Client_1,local
9,0.8476190476190476,2.2721383571624756,2,Client_1,global
10,0.8821428571428571,1.747628927230835,2,Client_2,local
11,0.8666666666666667,2.2716212272644043,2,Client_2,global
12,0.8511904761904762,1.7651207447052002,3,Client_0,local
13,0.8464285714285714,2.275556802749634,3,Client_0,global
14,0.8607142857142858,1.8001906871795654,3,Client_4,local
15,0.8333333333333334,2.2760894298553467,3,Client_4,global
16,0.8464285714285714,1.8084224462509155,4,Client_0,local
17,0.825,2.2791659832000732,4,Client_0,global
18,0.8488095238095238,1.82071852684021,4,Client_3,local
19,0.8392857142857143,2.2788150310516357,4,Client_3,global
